,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['XGBoost'],[100],[0.01],[2],[0],['0.7620350328175782']
1,['XGBoost'],[100],[0.01],[3],[0],['0.7694352455659625']
2,['XGBoost'],[100],[0.01],[4],[0],['0.7744066376307085']
3,['XGBoost'],[100],[0.01],[5],[0],['0.7794730722263596']
4,['XGBoost'],[100],[0.01],[6],[0],['0.7805852385345742']
5,['XGBoost'],[200],[0.01],[2],[0],['0.7698375158753735']
6,['XGBoost'],[200],[0.01],[3],[0],['0.7755770851742823']
7,['XGBoost'],[200],[0.01],[4],[0],['0.779625827478666']
8,['XGBoost'],[200],[0.01],[5],[0],['0.7836802431906205']
9,['XGBoost'],[200],[0.01],[6],[0],['0.7859689405817172']
10,['XGBoost'],[500],[0.01],[2],[0],['0.7782893210650856']
11,['XGBoost'],[500],[0.01],[3],[0],['0.7820259868463761']
12,['XGBoost'],[500],[0.01],[4],[0],['0.7842486706256747']
13,['XGBoost'],[500],[0.01],[5],[0],['0.7872152673851667']
14,['XGBoost'],[500],[0.01],[6],[0],['0.7888652962928548']
15,['XGBoost'],[1000],[0.01],[2],[0],['0.7814447397392958']
16,['XGBoost'],[1000],[0.01],[3],[0],['0.7836775433603591']
17,['XGBoost'],[1000],[0.01],[4],[0],['0.7848908831556872']
18,['XGBoost'],[1000],[0.01],[5],[0],['0.7873083677785333']
19,['XGBoost'],[1000],[0.01],[6],[0],['0.7895075723712892']
20,['XGBoost'],[100],[0.1],[2],[0],['0.7817103863188735']
21,['XGBoost'],[100],[0.1],[3],[0],['0.7828539338154723']
22,['XGBoost'],[100],[0.1],[4],[0],['0.7839472325972354']
23,['XGBoost'],[100],[0.1],[5],[0],['0.7868248547224417']
24,['XGBoost'],[100],[0.1],[6],[0],['0.7888196792803049']
25,['XGBoost'],[200],[0.1],[2],[0],['0.7825392571842567']
26,['XGBoost'],[200],[0.1],[3],[0],['0.7837962283483684']
27,['XGBoost'],[200],[0.1],[4],[0],['0.7853251496066724']
28,['XGBoost'],[200],[0.1],[5],[0],['0.7866191597240506']
29,['XGBoost'],[200],[0.1],[6],[0],['0.7911002160763664']
30,['XGBoost'],[500],[0.1],[2],[0],['0.7823634030582708']
31,['XGBoost'],[500],[0.1],[3],[0],['0.782052854630306']
32,['XGBoost'],[500],[0.1],[4],[0],['0.7840826293536926']
33,['XGBoost'],[500],[0.1],[5],[0],['0.7862841436871663']
34,['XGBoost'],[500],[0.1],[6],[0],['0.7922762900994453']
35,['XGBoost'],[1000],[0.1],[2],[0],['0.7803043461997575']
36,['XGBoost'],[1000],[0.1],[3],[0],['0.7803857859465462']
37,['XGBoost'],[1000],[0.1],[4],[0],['0.7826743645509773']
38,['XGBoost'],[1000],[0.1],[5],[0],['0.7878183160004524']
39,['XGBoost'],[1000],[0.1],[6],[0],['0.7930397799042449']
40,['XGBoost'],[100],[0.3],[2],[0],['0.7807645780470823']
41,['XGBoost'],[100],[0.3],[3],[0],['0.7811142087544931']
42,['XGBoost'],[100],[0.3],[4],[0],['0.780741120369236']
43,['XGBoost'],[100],[0.3],[5],[0],['0.7809615165617745']
44,['XGBoost'],[100],[0.3],[6],[0],['0.7845367889048914']
45,['XGBoost'],[200],[0.3],[2],[0],['0.7790601883528296']
46,['XGBoost'],[200],[0.3],[3],[0],['0.7786365559969923']
47,['XGBoost'],[200],[0.3],[4],[0],['0.7774855356948162']
48,['XGBoost'],[200],[0.3],[5],[0],['0.7824182521900155']
49,['XGBoost'],[200],[0.3],[6],[0],['0.7878092119557694']
50,['XGBoost'],[500],[0.3],[2],[0],['0.7749397106345096']
51,['XGBoost'],[500],[0.3],[3],[0],['0.7734931950590066']
52,['XGBoost'],[500],[0.3],[4],[0],['0.7793104767453447']
53,['XGBoost'],[500],[0.3],[5],[0],['0.7830202967402358']
54,['XGBoost'],[500],[0.3],[6],[0],['0.7878207386618274']
55,['XGBoost'],[1000],[0.3],[2],[0],['0.7684970777698157']
56,['XGBoost'],[1000],[0.3],[3],[0],['0.772542560040158']
57,['XGBoost'],[1000],[0.3],[4],[0],['0.781879311222706']
58,['XGBoost'],[1000],[0.3],[5],[0],['0.7817785786638736']
59,['XGBoost'],[1000],[0.3],[6],[0],['0.7867507513965402']
