,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['Random Forest'],[100],[0],[2],[0],['0.7714938827532529']
1,['Random Forest'],[100],[0],[3],[0],['0.7749941507179527']
2,['Random Forest'],[100],[0],[4],[0],['0.7802816226253416']
3,['Random Forest'],[100],[0],[5],[0],['0.7864933289651802']
4,['Random Forest'],[100],[0],[6],[0],['0.795631029340251']
5,['Random Forest'],[200],[0],[2],[0],['0.7720681683050901']
6,['Random Forest'],[200],[0],[3],[0],['0.775525217587581']
7,['Random Forest'],[200],[0],[4],[0],['0.7802976192013358']
8,['Random Forest'],[200],[0],[5],[0],['0.7870167358198321']
9,['Random Forest'],[200],[0],[6],[0],['0.7957286341575311']
10,['Random Forest'],[500],[0],[2],[0],['0.7720178797851439']
11,['Random Forest'],[500],[0],[3],[0],['0.7758908772557632']
12,['Random Forest'],[500],[0],[4],[0],['0.7803447849596744']
13,['Random Forest'],[500],[0],[5],[0],['0.7867839322699074']
14,['Random Forest'],[500],[0],[6],[0],['0.7955325938397122']
15,['Random Forest'],[1000],[0],[2],[0],['0.7719638223642411']
16,['Random Forest'],[1000],[0],[3],[0],['0.7756792367525647']
17,['Random Forest'],[1000],[0],[4],[0],['0.7804601844748602']
18,['Random Forest'],[1000],[0],[5],[0],['0.7869470764546749']
19,['Random Forest'],[1000],[0],[6],[0],['0.795555191450066']
