,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['XGBoost'],[100],[0.01],[2],[0],['0.7671324672887351']
1,['XGBoost'],[100],[0.01],[3],[0],['0.7750453538528264']
2,['XGBoost'],[100],[0.01],[4],[0],['0.7851417725055934']
3,['XGBoost'],[100],[0.01],[5],[0],['0.7958435918617456']
4,['XGBoost'],[100],[0.01],[6],[0],['0.8082421255094328']
5,['XGBoost'],[200],[0.01],[2],[0],['0.7744856468904645']
6,['XGBoost'],[200],[0.01],[3],[0],['0.7814031641218833']
7,['XGBoost'],[200],[0.01],[4],[0],['0.7900138153458475']
8,['XGBoost'],[200],[0.01],[5],[0],['0.8017335848150076']
9,['XGBoost'],[200],[0.01],[6],[0],['0.8146812218927659']
10,['XGBoost'],[500],[0.01],[2],[0],['0.7851841848184022']
11,['XGBoost'],[500],[0.01],[3],[0],['0.7946675292106212']
12,['XGBoost'],[500],[0.01],[4],[0],['0.8062180972633758']
13,['XGBoost'],[500],[0.01],[5],[0],['0.8206915849300735']
14,['XGBoost'],[500],[0.01],[6],[0],['0.8365165497690384']
15,['XGBoost'],[1000],[0.01],[2],[0],['0.7933917627377449']
16,['XGBoost'],[1000],[0.01],[3],[0],['0.8057901678611122']
17,['XGBoost'],[1000],[0.01],[4],[0],['0.8206682917134523']
18,['XGBoost'],[1000],[0.01],[5],[0],['0.8386800750700297']
19,['XGBoost'],[1000],[0.01],[6],[0],['0.8588132708488647']
20,['XGBoost'],[100],[0.1],[2],[0],['0.7937019599199129']
21,['XGBoost'],[100],[0.1],[3],[0],['0.8064365753638543']
22,['XGBoost'],[100],[0.1],[4],[0],['0.821579501689057']
23,['XGBoost'],[100],[0.1],[5],[0],['0.8393857340890882']
24,['XGBoost'],[100],[0.1],[6],[0],['0.8602518491366397']
25,['XGBoost'],[200],[0.1],[2],[0],['0.8031266762652216']
26,['XGBoost'],[200],[0.1],[3],[0],['0.8212987481525238']
27,['XGBoost'],[200],[0.1],[4],[0],['0.841918747737972']
28,['XGBoost'],[200],[0.1],[5],[0],['0.866345050604499']
29,['XGBoost'],[200],[0.1],[6],[0],['0.8918853985394495']
30,['XGBoost'],[500],[0.1],[2],[0],['0.8178597132433616']
31,['XGBoost'],[500],[0.1],[3],[0],['0.8478319889358394']
32,['XGBoost'],[500],[0.1],[4],[0],['0.8803268255023277']
33,['XGBoost'],[500],[0.1],[5],[0],['0.9107505842996082']
34,['XGBoost'],[500],[0.1],[6],[0],['0.9354192799983359']
35,['XGBoost'],[1000],[0.1],[2],[0],['0.8336339566837342']
36,['XGBoost'],[1000],[0.1],[3],[0],['0.8751031865779101']
37,['XGBoost'],[1000],[0.1],[4],[0],['0.9136684866482885']
38,['XGBoost'],[1000],[0.1],[5],[0],['0.9412936198275341']
39,['XGBoost'],[1000],[0.1],[6],[0],['0.9592765046057489']
40,['XGBoost'],[100],[0.3],[2],[0],['0.8089388850010627']
41,['XGBoost'],[100],[0.3],[3],[0],['0.8301999733781299']
42,['XGBoost'],[100],[0.3],[4],[0],['0.8566920573978889']
43,['XGBoost'],[100],[0.3],[5],[0],['0.8850519420646432']
44,['XGBoost'],[100],[0.3],[6],[0],['0.9096390420756233']
45,['XGBoost'],[200],[0.3],[2],[0],['0.8216672050295216']
46,['XGBoost'],[200],[0.3],[3],[0],['0.8531546642522267']
47,['XGBoost'],[200],[0.3],[4],[0],['0.8871706387151406']
48,['XGBoost'],[200],[0.3],[5],[0],['0.9189656869270177']
49,['XGBoost'],[200],[0.3],[6],[0],['0.9418619787183259']
50,['XGBoost'],[500],[0.3],[2],[0],['0.8461021654114932']
51,['XGBoost'],[500],[0.3],[3],[0],['0.8925459909540878']
52,['XGBoost'],[500],[0.3],[4],[0],['0.929749019740644']
53,['XGBoost'],[500],[0.3],[5],[0],['0.9544009088842603']
54,['XGBoost'],[500],[0.3],[6],[0],['0.9670146759451533']
55,['XGBoost'],[1000],[0.3],[2],[0],['0.8703143671778675']
56,['XGBoost'],[1000],[0.3],[3],[0],['0.9234135695418673']
57,['XGBoost'],[1000],[0.3],[4],[0],['0.9557361940270009']
58,['XGBoost'],[1000],[0.3],[5],[0],['0.9685584820253492']
59,['XGBoost'],[1000],[0.3],[6],[0],['0.9742105372039933']
