,pred_prob,target
121,981.0219,0
124,931.0833,1
541,954.16583,0
571,946.80786,1
758,902.6065,0
774,942.61163,1
956,944.3008,1
1207,923.80444,1
1253,916.5091,0
2147,930.84143,0
2167,916.82965,1
2182,920.7687,0
2340,902.67084,1
2540,912.99927,1
2768,910.59094,1
3252,982.1464,1
3306,924.14545,1
3429,918.3603,1
3566,915.422,1
3605,965.71716,1
3727,979.45306,1
3877,970.8065,1
4298,964.32916,1
4335,930.372,1
4388,972.6575,1
4469,916.38477,1
4715,926.38226,1
4758,905.0663,0
4953,933.6893,1
5921,914.2169,1
6222,924.20154,1
6696,945.34076,0
6900,919.2828,1
7032,967.9745,1
7696,923.9307,1
7801,960.23706,1
8355,933.4749,1
8742,945.2743,1
