,pred_prob,target
0,64.493744,0
1,230.01166,0
2,45.739296,0
3,497.1974,1
4,185.57126,1
5,794.0527,1
6,75.91008,0
7,11.820198,0
8,199.2648,0
9,331.93314,0
10,33.02352,0
11,85.78466,0
12,119.53752,0
13,226.93018,0
14,154.11514,0
15,108.3014,0
16,525.13477,0
17,646.0575,1
18,69.54324,0
19,68.37616,0
20,308.87732,0
21,237.57318,0
22,157.00226,0
23,115.63495,0
24,88.29889,0
25,50.03611,0
26,751.02893,1
27,656.79095,1
28,132.24533,0
29,33.735065,0
30,141.70644,0
31,849.10406,1
32,335.47623,0
33,47.94833,0
34,285.1223,1
35,21.564402,0
36,94.24914,0
37,765.83405,0
38,24.121834,0
39,47.02554,0
40,358.6196,0
41,405.05328,0
42,666.0338,0
43,274.1068,0
44,217.45686,0
45,91.641785,0
46,158.25545,0
47,145.98041,1
48,77.07935,0
49,45.591305,0
50,20.7531,1
51,342.13632,0
52,237.04121,1
53,62.03943,0
54,385.80795,0
55,64.88792,0
56,187.48808,0
57,286.13354,1
58,204.42154,1
59,154.6629,0
60,312.58978,0
61,123.66228,1
62,160.21198,1
63,216.46309,0
64,504.11798,0
65,201.41803,1
66,196.20424,0
67,157.44733,1
68,142.01929,0
69,128.6652,1
70,120.42269,0
71,230.4612,1
72,408.2157,1
73,599.72723,0
74,184.48625,1
75,163.25047,0
76,37.555283,0
77,46.0781,0
78,879.9527,1
79,206.57726,0
80,615.57263,0
81,112.58841,0
82,152.06622,0
83,625.9565,1
84,807.6142,0
85,777.50476,0
86,362.813,1
87,160.27126,0
88,361.02698,0
89,84.30164,0
90,644.45087,1
91,90.5786,0
92,263.02325,0
93,175.03847,0
94,25.298445,0
95,97.72484,0
96,100.35983,0
97,301.56613,1
98,73.490265,0
99,100.61757,0
100,60.086338,0
101,29.743397,0
102,174.58557,0
103,211.22978,0
104,137.43825,0
105,238.49127,0
106,175.9545,0
107,44.622463,0
108,112.35441,0
109,239.47025,0
110,23.395657,0
111,88.67526,0
112,314.92014,0
113,66.61261,0
114,321.32474,0
115,537.8321,0
116,263.61673,0
117,123.56306,0
118,40.592163,0
119,289.90332,1
120,287.181,0
121,981.0219,0
122,107.447556,0
123,91.69463,0
124,931.0833,1
125,175.90233,0
126,459.19412,0
127,129.41379,0
128,383.56723,1
129,82.11266,0
130,245.56073,1
131,230.54276,0
132,669.52496,1
133,471.6727,1
134,164.2539,0
135,188.34224,0
136,129.45132,0
137,64.27273,0
138,48.627014,0
139,121.22188,0
140,306.32306,0
141,32.38879,0
142,53.63504,0
143,175.28035,0
144,334.75293,0
145,79.28238,0
146,636.16766,1
147,219.89853,0
148,329.92297,0
149,750.7595,1
150,462.56708,0
151,88.36195,0
152,178.22491,0
153,27.266062,0
